Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-100.315, -100.597
-100.597, -100.908
-100.908, -101.157
-101.197, -101.427
-101.427, -101.674
-101.674, -101.870
-101.870, -102.083
-102.083, -102.253
-102.281, -102.443
-102.443, -102.630
-102.630, -102.791
-102.791, -102.984
-102.984, -103.156
-103.187, -103.373
-103.373, -103.608
-103.608, -103.826
-103.826, -104.103
-104.103, -104.361
-104.406, -104.684
-104.684, -105.030
-105.030, -105.344
-105.344, -105.719
-105.719, -106.044
-106.098, -106.410
-106.410, -106.741
-106.741, -106.979
-106.979, -107.175
-107.175, -107.253
-107.221, -107.259
-107.045, -107.221
-106.785, -107.045
-106.371, -106.785
-105.942, -106.371
-105.379, -105.865
-104.777, -105.379
-104.245, -104.777
-103.622, -104.245
-103.097, -103.622
-102.499, -103.010
-101.924, -102.499
-101.451, -101.924
-100.924, -101.451
-100.495, -100.924
-100.021, -100.426
-99.574, -100.021
-99.212, -99.574
-98.813, -99.212
-98.490, -98.813
-98.138, -98.438
-97.807, -98.138
-97.542, -97.807
-97.253, -97.542
-97.021, -97.253
-96.771, -96.984
-96.540, -96.771
-96.357, -96.540
-96.160, -96.357
-96.007, -96.160
-95.845, -95.983
-95.701, -95.845
-95.590, -95.701
-95.479, -95.590
-95.396, -95.479
-95.316, -95.383
-95.253, -95.316
-95.212, -95.253
-95.181, -95.212
-95.168, -95.181
-95.166, -95.169
-95.169, -95.188
-95.188, -95.218
-95.218, -95.270
-95.270, -95.330
-95.341, -95.417
-95.417, -95.524
-95.524, -95.630
-95.630, -95.775
-95.775, -95.915
-95.939, -96.098
-96.098, -96.303
-96.303, -96.496
-96.496, -96.744
-96.744, -96.974
-97.013, -97.264
-97.264, -97.578
-97.578, -97.866
-97.866, -98.227
-98.227, -98.553
-98.609, -98.955
-98.955, -99.379
-99.379, -99.759
-99.759, -100.218
-100.218, -100.624
-100.694, -101.109
-101.109, -101.600
-101.600, -102.020
-102.020, -102.501
-102.501, -102.899
-102.966, -103.337
-103.337, -103.735
-103.735, -104.032
-104.032, -104.322
-104.322, -104.514
-104.542, -104.672
-104.672, -104.755
-104.755, -104.774
-104.741, -104.774
-104.675, -104.741
-104.565, -104.661
-104.430, -104.565
-104.302, -104.430
-104.149, -104.302
-104.020, -104.149
-103.877, -103.999
-103.748, -103.877
-103.650, -103.748
-103.551, -103.650
-103.482, -103.551
-103.420, -103.472
-103.376, -103.420
-103.352, -103.376
-103.337, -103.352
-103.334, -103.337
-103.334, -103.338
-103.338, -103.347
-103.347, -103.354
-103.354, -103.356
-103.348, -103.356
-103.322, -103.345
-103.271, -103.322
-103.203, -103.271
-103.091, -103.203
-102.964, -103.091
-102.777, -102.939
-102.549, -102.777
-102.323, -102.549
-102.024, -102.323
-101.741, -102.024
-101.389, -101.692
-101.015, -101.389
-100.683, -101.015
-100.289, -100.683
-99.950, -100.289
-99.555, -99.893
-99.166, -99.555
-98.841, -99.166
-98.474, -98.841
-98.172, -98.474
-97.836, -98.123
-97.519, -97.836
-97.263, -97.519
-96.984, -97.263
-96.761, -96.984
-96.521, -96.726
-96.304, -96.521
-96.135, -96.304
-95.957, -96.135
-95.820, -95.957
-95.682, -95.800
-95.563, -95.682
-95.477, -95.563
-95.396, -95.477
-95.339, -95.396
-95.292, -95.332
-95.262, -95.292
-95.248, -95.262
-95.245, -95.248
-95.247, -95.256
-95.259, -95.281
-95.281, -95.317
-95.317, -95.356
-95.356, -95.411
-95.411, -95.466
-95.474, -95.534
-95.534, -95.609
-95.609, -95.675
-95.675, -95.755
-95.755, -95.825
-95.836, -95.904
-95.904, -95.983
-95.983, -96.046
-96.046, -96.118
-96.118, -96.175
-96.185, -96.238
-96.238, -96.294
-96.294, -96.336
-96.336, -96.380
-96.380, -96.414
-96.418, -96.446
-96.446, -96.474
-96.474, -96.494
-96.494, -96.512
-96.512, -96.527
-96.529, -96.538
-96.538, -96.549
-96.549, -96.556
-96.556, -96.562
-96.562, -96.567
-96.567, -96.571
-96.571, -96.575
-96.575, -96.579
-96.579, -96.580
-96.580, -96.580
-96.580, -96.580
-96.579, -96.580
-96.575, -96.579
-96.567, -96.575
-96.558, -96.567
-96.543, -96.556
-96.523, -96.543
-96.503, -96.523
-96.472, -96.503
-96.441, -96.472
-96.400, -96.436
-96.350, -96.400
-96.303, -96.350
-96.240, -96.303
-96.180, -96.240
-96.106, -96.170
-96.027, -96.106
-95.955, -96.027
-95.869, -95.955
-95.794, -95.869
-95.706, -95.781
-95.620, -95.706
-95.547, -95.620
-95.470, -95.547
-95.409, -95.470
-95.344, -95.399
-95.292, -95.344
-95.256, -95.292
-95.230, -95.256
-95.219, -95.230
-95.219, -95.225
-95.225, -95.249
-95.249, -95.288
-95.288, -95.353
-95.353, -95.430
-95.444, -95.543
-95.543, -95.685
-95.685, -95.828
-95.828, -96.022
-96.022, -96.214
-96.249, -96.470
-96.470, -96.757
-96.757, -97.032
-97.032, -97.384
-97.384, -97.716
-97.773, -98.135
-98.135, -98.590
-98.590, -99.007
-99.007, -99.522
-99.522, -99.982
